ssvid,lat,lon,timestamp,length_m
224288790,-12.453675,-77.05566999999999,2020-03-23 08:06:27+00:00,18.208262835622218
246894000,-12.466458333299999,-77.1997583333,2020-03-08 09:38:22+00:00,156.4434821660211
255806031,-12.4869866667,-77.1947466667,2020-03-07 04:09:21+00:00,236.40954037320003
341730000,-12.308888333299999,-76.94805500000001,2020-03-08 20:12:56+00:00,22.989014115711765
352202000,-12.5311733333,-77.15496,2020-03-07 01:44:02+00:00,162.67266655260886
354288000,-12.317386666700001,-76.99418,2020-03-06 09:24:30+00:00,23.41407664299444
354769000,-12.324836666700001,-76.9350733333,2020-03-01 10:39:05+00:00,134.25426743687072
355680000,-12.498133333299998,-77.1791733333,2020-03-09 03:37:34+00:00,119.45251182703531
368034230,-12.301941666700001,-76.9579583333,2020-03-01 20:12:07+00:00,14.84011390596
368054420,-12.314214999999999,-76.9357183333,2020-03-13 15:48:12+00:00,23.721306099730768
370847000,-12.3261433333,-76.9436583333,2020-03-02 15:53:24+00:00,170.57028866212437
371616000,-12.31973,-76.9543433333,2020-03-10 23:43:30+00:00,86.40830013543112
371673000,-12.301295,-76.9559,2020-03-15 16:49:16+00:00,32.240668841052624
373084000,-12.337086666700001,-76.9692983333,2020-03-08 22:22:47+00:00,27.93335068625176
378112135,-12.319341666700002,-76.9374883333,2020-03-01 19:51:21+00:00,17.133429141974997
378112985,-12.301805,-76.95614666670001,2020-03-16 09:59:45+00:00,25.05931740165239
477652700,-12.428533333299999,-77.1937333333,2020-03-05 16:14:00+00:00,140.06695019465585
477739400,-12.496773333299998,-77.19368,2020-03-31 20:17:06+00:00,166.5507241200696
538003693,-12.543833333299999,-77.1591016667,2020-03-21 02:02:36+00:00,163.13945145937848
538006085,-12.479855,-77.1829,2020-03-02 10:52:40+00:00,146.51598009248178
725001564,-12.3016266667,-77.06328,2020-03-15 19:04:08+00:00,34.89395608394181
760000210,-12.5451733333,-77.1873333333,2020-03-06 09:02:51+00:00,47.62
760000310,-12.4866933333,-77.1792533333,2020-03-16 17:25:40+00:00,33.549999237061
760001280,-12.4629866667,-77.1209866667,2020-03-01 21:51:26+00:00,125.0787100382436
760002915,-12.4966916667,-77.0436333333,2020-03-17 21:37:00+00:00,41.121354136464
760002960,-12.372853333299998,-77.07984,2020-03-17 20:53:53+00:00,37.121303683346156
760003358,-12.4788,-77.1118133333,2020-03-03 08:30:11+00:00,45.3
760012186,-12.4903466667,-77.0422666667,2020-03-01 04:15:17+00:00,39.607177685993975
760016948,-12.439248333299998,-76.9955433333,2020-03-16 22:57:19+00:00,40.70365936757928
760027200,-12.389221666700001,-77.0901083333,2020-03-03 00:28:22+00:00,41.3627061126421
760111409,-12.3756266667,-77.02944000000001,2020-03-12 02:40:00+00:00,36.9587544117625
